table_name,column_name,dtype,description,allowed_values
rag_corpus_documents,doc_id,string,Unique identifier for each document.,Pattern: DOC[0-9]{4}
rag_corpus_documents,domain,string,"High level domain or category of the document (support, product_docs, medical_guides, etc.).","customer_success, data_platform_docs, developer_docs, financial_reports, hr_policies, marketing_analytics, medical_guides, mlops_docs, policies, product_docs, research_papers, support_faq"
rag_corpus_documents,title,text,Short title of the document.,
rag_corpus_documents,source_type,category,"Source type of the document (kb_article, runbook, policy_pdf, report, etc.).","internal_doc, notebook, pdf_manual, policy_file, spreadsheet, web_article, wiki_page"
rag_corpus_documents,language,string,"Language of the document, usually ISO language code (e.g., en).",en
rag_corpus_documents,n_sections,int,Number of logical sections inside the document.,
rag_corpus_documents,n_tokens,int,Estimated total token count for the full document.,
rag_corpus_documents,n_chunks,int,Number of chunks the document is split into for retrieval.,
rag_corpus_documents,avg_chunk_tokens,float,Average token count per chunk for this document.,
rag_corpus_documents,created_at_utc,datetime,UTC timestamp when the document was first created in the corpus.,
rag_corpus_documents,last_updated_at_utc,datetime,UTC timestamp when the document was last updated.,
rag_corpus_documents,is_active,int,Whether the document is currently active and used by the RAG system.,0/1
rag_corpus_documents,contains_tables,int,Whether the document contains tabular data.,0/1
rag_corpus_documents,pii_risk_level,category,Qualitative PII risk for this document.,"low, medium, none"
rag_corpus_documents,security_tier,category,Security classification tier for the document.,"highly_restricted, internal, public, restricted"
rag_corpus_documents,embedding_model,string,Name of the embedding model used to embed this document.,"all-minilm-l12-v2, bge-m3, e5-mistral-7b, gte-large, text-embedding-3-large, text-embedding-3-small"
rag_corpus_documents,owner_team,string,Logical team or function that owns the document content.,"data, engineering, finance, hr, legal, marketing, product, support"
rag_corpus_documents,search_index,string,Search index or collection name where this document is indexed.,Index name (string)
rag_corpus_documents,top_keywords,text,"Representative keywords extracted for the document, stored as a short text list.",
rag_corpus_chunks,chunk_id,string,Unique identifier for each text chunk in the corpus.,Pattern: C[0-9]{5}
rag_corpus_chunks,doc_id,string,Identifier of the parent document that this chunk belongs to.,Pattern: DOC[0-9]{4}
rag_corpus_chunks,domain,string,"Domain of the parent document, repeated for convenience.","customer_success, data_platform_docs, developer_docs, financial_reports, hr_policies, marketing_analytics, medical_guides, mlops_docs, policies, product_docs, research_papers, support_faq"
rag_corpus_chunks,chunk_index,int,Index of the chunk within its parent document (0 based).,
rag_corpus_chunks,estimated_tokens,int,Estimated token count for the chunk text.,
rag_corpus_chunks,chunk_text,text,Raw text content of the chunk used for retrieval.,
